event_id,trade_id,signal_id,event_time,event_type,market,symbol,message
ddbbceb2ae0d3b39f3a0,0836c4e9f97c30dcaa33,aa795cc671eb1e14402e,2026-05-11T12:40:36.199413+00:00,PAPER_OPEN,forex,USDCHF,paper trade opened
c9c20ea73d8d7e0d58d9,761e6c0e1b1e45373540,db477d6b78f93565746f,2026-05-11T12:40:36.215952+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
9aa86918b5a411cd6c9f,9ce1c5d8adceab1472af,2cac504e699d7d64c6c3,2026-05-11T12:40:36.236777+00:00,PAPER_OPEN,forex,GBPUSD,paper trade opened
d0ef6d65a3a9406ee547,761e6c0e1b1e45373540,db477d6b78f93565746f,2026-05-11T13:11:40.572677+00:00,PAPER_CLOSED,forex,EURUSD,TP1
8cf6c33e808140b38400,ba50d681f83c8af91725,519cba1bcf019ca0c8fe,2026-05-11T13:18:45.854625+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
768ce3c0739e6599f0aa,d1dee81ddd5a0a1470ba,7550b76308f67b513354,2026-05-11T13:18:45.880936+00:00,PAPER_OPEN,forex,AUDJPY,paper trade opened
4ebd6f10e1366cef3a31,9ce1c5d8adceab1472af,2cac504e699d7d64c6c3,2026-05-11T13:45:44.785144+00:00,PAPER_CLOSED,forex,GBPUSD,TP1
de9fa4d31896fd3fd5bd,ba50d681f83c8af91725,519cba1bcf019ca0c8fe,2026-05-11T13:45:45.079943+00:00,PAPER_CLOSED,forex,EURUSD,TP1
04fc43e1bc5d1f40eedb,a9a5bfa2b07dd256e9e8,6489f842db9883f59dfb,2026-05-11T13:54:48.610447+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
9e7cb2493a5dec03de11,4939f6001540a3a91a9c,d4af7bbf985362a67b29,2026-05-11T13:54:48.638284+00:00,PAPER_OPEN,forex,GBPUSD,paper trade opened
45b365e9342bd327d016,a9a5bfa2b07dd256e9e8,6489f842db9883f59dfb,2026-05-11T13:54:50.384080+00:00,PAPER_CLOSED,forex,EURUSD,TP1
8e0f1e046b1597cb6012,4939f6001540a3a91a9c,d4af7bbf985362a67b29,2026-05-11T13:54:50.661731+00:00,PAPER_CLOSED,forex,GBPUSD,TP1
6a206b682ae6a5469bf9,55b3701c45c1f2bae2fb,1e52f47632711dd3dfb0,2026-05-11T14:03:28.874036+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
64e4c94cbfe06a32381e,8e9b20b892f7db89cee4,802d5016d4147fc5c034,2026-05-11T14:03:28.903740+00:00,PAPER_OPEN,forex,GBPUSD,paper trade opened
